категория категорија
що што
я ја
кой кој
той тој
обйектот објектот
коя која
македония македонија
ке ќе
#пренасочуване #пренасочување
повеке повеќе
обйекти објекти
язик јазик
брой број
овой овој
опщ општ
кай кај
бройот бројот
опщина општина
койщо којшто
содзвездието соѕвездието
земята земјата
уще уште
сяй сјај
германия германија
бидейки бидејќи
своята својата
война војна
скопйе скопје
срекява среќава
крайот крајот
язици јазици
свойот својот
покрай покрај
постоят постојат
обйект објект
януари јануари
коищо коишто
класификация класификација
истражуваня истражувања
проучуване проучување
й ј
найважните најважните
содзвездие соѕвездие
наблюдуване набљудување
май мај
дзвезди ѕвезди
секой секој
юли јули
истражуване истражување
оной оној
земя земја
франция франција
галаксия галаксија
создаването создавањето
деклинация деклинација
история историја
юни јуни
ректасцензия ректасцензија
состойба состојба
дияметар дијаметар
италия италија
чиящо чијашто
лекя леќа
земйи земји
уранометрия уранометрија
южна јужна
бугария бугарија
опсерватория опсерваторија
грция грција
гледище гледиште
еврейскиот еврејскиот
функция функција
меренето мерењето
секоя секоја
коящо којашто
русия русија
юлиянски јулијански
нейзината нејзината
джон џон
империя империја
вклучувайки вклучувајќи
найчесто најчесто
нейзиниот нејзиниот
википедия википедија
край крај
училище училиште
организация организација
случай случај
веке веќе
бройни бројни
некой некој
влияние влијание
хиджра хиџра
вещачки вештачки
австралия австралија
повекето повеќето
вилиям вилијам
движене движење
англия англија
развой развој
србия србија
опщини општини
британия британија
саксония саксонија
шпания шпанија
владеенето владеењето
историята историјата
кукя куќа
иминята имињата
статия статија
партия партија
серия серија
енергия енергија
значайни значајни
бракята браќата
извршуване извршување
нейзините нејзините
римяните римјаните
егейска егејска
албания албанија
азия азија
войната војната
боя боја
мок моќ
извещай извештај
теория теорија
найголем најголем
значене значење
опщината општината
библията библијата
нещо нешто
мисленя мислења
найголема најголема
язикот јазикот
вброюваат вбројуваат
семейство семејство
защита заштита
опществени општествени
турция турција
наймногу најмногу
майка мајка
еврейска еврејска
войска војска
география географија
растояние растојание
йован јован
броенето броењето
софия софија
функцията функцијата
изброяна избројана
пребегнуването пребегнувањето
юлиянскиот јулијанскиот
училища училишта
войни војни
нейзиното нејзиното
територията територијата
союз сојуз
линия линија
верзия верзија
нюйорк њујорк
индия индија
япония јапонија
юг југ
музей музеј
официялно официјално
организацията организацијата
економия економија
найдобар најдобар
мария марија
седище седиште
официялна официјална
найголемиот најголемиот
опщи општи
некоя некоја
яс јас
югославия југославија
италиянски италијански
уредуване уредување
развойот развојот
територия територија
создаване создавање
армия армија
постояно постојано
джамия џамија
користене користење
войници војници
материял материјал
найголемото најголемото
семейството семејството
джеймс џејмс
холщайн холштајн
куки куќи
австрия австрија
унгария унгарија
поезия поезија
позиция позиција
холандия холандија
померания померанија
дзвезда ѕвезда
уния унија
серията серијата
статията статијата
династия династија
найголемите најголемите
океания океанија
появува појавува
романия романија
джордж џорџ
наймалото најмалото
появи појави
управуване управување
религия религија
исфрлуването исфрлувањето
обиколуване обиколување
керка ќерка
официялен официјален
своя своја
семейства семејства
земйите земјите
администрация администрација
иминя имиња
опщество општество
вероятно веројатно
компанията компанијата
християнски христијански
растения растенија
академия академија
опфакя опфаќа
чия чија
найвисоките највисоките
училището училиштето
друщво друштво
южниот јужниот
византия византија
зголемуване зголемување
теорията теоријата
найвероятно најверојатно
дойде дојде
юнайтед јунајтед
прашаня прашања
швайцария швајцарија
опщински општински
материяли материјали
револуция револуција
репрезентация репрезентација
свой свој
лансирането лансирањето
явува јавува
прашане прашање
джиро џиро
движенето движењето
времиня времиња
калифорния калифорнија
двайца двајца
турнея турнеја
южно јужно
дейност дејност
кукята куќата
однесуване однесување
индустрия индустрија
тирингия тирингија
южен јужен
поява појава
воопщо воопшто
технология технологија
оружйе оружје
найде најде
ню њу
владеене владеење
християни христијани
белгия белгија
найдобра најдобра
войвода војвода
двайцата двајцата
майкл мајкл
наймалку најмалку
монголия монголија
идеята идејата
щип штип
подрачйе подрачје
нищо ништо
музейот музејот
ювентус јувентус
дейвид дејвид
телевизия телевизија
традиция традиција
империята империјата
чий чиј
намалуване намалување
словения словенија
любов љубов
ясно јасно
обявил објавил
найдобро најдобро
изяви изјави
економията економијата
найдобрите најдобрите
кучиня кучиња
завршуването завршувањето
компания компанија
баране барање
трговия трговија
вракя враќа
явноста јавноста
користейки користејќи
луй луј
партията партијата
змия змија
фамилия фамилија
режия режија
митология митологија
найголемата најголемата
федерация федерација
реакция реакција
изявил изјавил
приятел пријател
одржуване одржување
основането основањето
християнството христијанството
зощо зошто
полиня полиња
конкуренция конкуренција
зафакя зафаќа
войската војската
сеуще сеуште
обявена објавена
японски јапонски
диялект дијалект
обявен објавен
илия илија
филозофия филозофија
фамилията фамилијата
дизайн дизајн
домакин домаќин
комисия комисија
корея кореја
знаене знаење
обяви објави
движеня движења
опщинската општинската
пояс појас
опществото општеството
струя струја
срекяваат среќаваат
акция акција
дзид ѕид
найголеми најголеми
йохан јохан
пишуване пишување
приятели пријатели
комуникация комуникација
династията династијата
слой слој
вракяне враќање
издания изданија
провинция провинција
комбинация комбинација
димензия димензија
португалия португалија
племиня племиња
появуваат појавуваат
диялекти дијалекти
венеция венеција
появата појавата
зрачене зрачење
методий методиј
почнувайки почнувајќи
влиянието влијанието
обявени објавени
сообракяй сообраќај
милиярди милијарди
опщо општо
