адријан ейдриън 
 алгебра алгебра 
 александра александра 
 астрономијата астрономия 
 атлетико атлетико 
 атракција привличането 
 бетмен батман 
 болен болно 
 бомби бомбите 
 бруно бруно 
 будизмот будизма 
 вагнер уагнър 
 велигден великденски 
 велосипед велосипед 
 вечера вечерята 
 вили уили 
 вишок излишък 
 волт уолт 
 вторник вторник 
 вулкански вулканична 
 гарсија гарсия 
 геолошки геоложки 
 глагол глагол 
 гнездо гнездо 
 дамки петна 
 демо демо 
 дефинирање определящ 
 дефиниции определения 
 дивината пустош 
 дилан дилън 
 динамика динамика 
 дипломат дипломат 
 дискриминација дискриминация 
 дијана даяна 
 докторат докторат 
 драматург драматург 
 другар половинка 
 едвај едвам 
 едгар едгар 
 еднаквост равенство 
 експлоатација изследване 
 еми еми 
 емили емили 
 жанеиро жанейро 
 жорж жорж 
 забележана забелязано 
 забите зъби 
 забранети забранено 
 загрозен застрашена 
 засолниште подслон 
 засолниште убежище 
 засолниште убежището 
 здравство здравеопазване 
 зимбабве зимбабве 
 идол идол 
 извоз изнасяне 
 измама измама 
 исклучоци изключения 
 кал кал 
 карпа скала 
 кастро кастро 
 ката етажите 
 коен коен 
 континуирано непрекъснато 
 конфедерација конфедерация 
 крие крие 
 крунисан коронован 
 курт кърт 
 лажни менте 
 лекари лекари 
 лок лок 
 мадагаскар мадагаскар 
 маска маска 
 ментор наставник 
 мермер мрамор 
 миграција миграцията 
 милтон милтън 
 минерали минерална 
 минимална минимални 
 монарх монарх 
 монро монро 
 монте монте 
 мото девиз 
 мјанмар мианмар 
 наполи неапол 
 недоволно недостатъчни 
 ненадејно внезапна 
 непријателски враждебна 
 несреќи инциденти 
 низи струните 
 обележја забележителности 
 обновен подновено 
 обновено съживи 
 обоени цветни 
 одделно поотделно 
 одразува отразено 
 одразува отразява 
 одредби разпоредби 
 омилен любимо 
 оператори операторите 
 освојувања завоевания 
 откриваат разкриване 
 пабло пабло 
 патрон покровител 
 патуваат пътуване 
 пенали санкции 
 пирс пиърс 
 планетите планетите 
 плато платото 
 повторување повторение 
 покана покани 
 поплави наводнения 
 портрети портрети 
 постава разпознаване 
 постигнато изпълнена 
 правно легално 
 праќа изпраща 
 преводи преводи 
 приоритет приоритетни 
 прогласи провъзгласена 
 промет обращение 
 пушки пушки 
 развод развод 
 разновидни разнообразни 
 разновидност разнообразие 
 ракети ракетите 
 раководители ръководители 
 рап рап 
 рејчел рейчъл 
 ривали съперници 
 римјани римляни 
 роберто роберто 
 роза роза 
 ротација завъртане 
 сакаше обичах 
 сали сали 
 сведоци свидетелите 
 сегменти сегменти 
 сирење сирена 
 систематски системно 
 скијање ски 
 собрал събрана 
 сознанија находки 
 соработувал сътрудничил 
 среда сряда 
 стратегии стратегии 
 супстанции вещество 
 сценарист сценарист 
 таблички табели 
 тактика тактики 
 театарска театрално 
 театри театри 
 тел тел 
 тесна стегнат 
 толкува тълкува 
 топки топки 
 трага трейс 
 траење времетраене 
 трајно трайно 
 трик трик 
 тринидад тринидад 
 убеди убеди 
 убиства убийства 
 уво уши 
 умерена умерено 
 феликс феликс 
 фрази фрази 
 фрлање хвърляне 
 хаити хаити 
 хармонија хармъни 
 хумор хумор 
 царица императрицата 
 черепот черепът 
 четврток четвъртък 
 чистење почистване 
 чудно странна 
 јачина величина 
 јачина интензитет 
 јон йон 
 јоханес йоханес 
 југословенска югославски 
 џефри джефри
